ক্রম,নাম,টাকার পরিমাণ,তারিখ,সময় পার হয়েছে,যতবার চাওয়া হয়েছে
১,ফুন কাডা কাশেম,১২০,১ সেপ্টেম্বর ২০২৬,১০ দিন,৬
২,মগা মামুন,৫০০,২৮ আগস্ট ২০২৬,১৪ দিন,৩
৩,বল্লা কামাল,২০০,২৫ আগস্ট ২০২৬,১৭ দিন,৫
৪,কষা বাবুল,৫০০,২০ আগস্ট ২০২৬,২২ দিন,১
৫,ফলাইয়ার মার ফুয়া পলাশ,৬০,১৫ আগস্ট ২০২৬,২৭ দিন,৪
৬,বোতল সাজ্জাদ,৫০,১০ আগস্ট ২০২৬,৩২ দিন,২
৭,মসিবত ফারহান,১৫০,৫ আগস্ট ২০২৬,৩৭ দিন,৬
৮,কালা উজ্জ্বল,৫০০,১ আগস্ট ২০২৬,৪১ দিন,০
৯,আবিয়াইত্তা মিজান,৩০০,২৮ জুলাই ২০২৬,৪৫ দিন,৩
১০,ধামা মঞ্জু,২৫০,২২ জুলাই ২০২৬,৫১ দিন,৫
১১,বস্তা বাবুইল্লা,১৩০০,১৮ জুলাই ২০২৬,৫৫ দিন,২
